"Session ID","ID","Child ID","Name","Status","Node ID","Node Lat [deg]","Node Lon [deg]","Type","Min Freq [MHz]","Max Freq [MHz]","Avg Freq [MHz]","Min BW [kHz]","Max BW [kHz]","Avg BW [kHz]","Min PWR [dBm]","Max PWR [dBm]","Avg PWR [dBm]","Min SNR [dB]","Max SNR [dB]","Avg SNR [dB]","DOA Az Type","Min DOA Az [deg]","Max DOA Az [deg]","Avg DOA Az [deg]","DOA Az Std [deg]","Min DOA El [deg]","Max DOA El [deg]","Avg DOA El [deg]","DOA El Std [deg]","First Seen","First Seen - FracSecs","Duration [ms]","RssiLast [dBm]","RssiExpAvg [dBm]","MaxRssiDist LossExp","MaxRssiDist Min [dBm]","MaxRssiDist Max [dBm]","MaxRssiDist Avg [dBm]","MaxRssiDist Last [dBm]"
"2163","1","-1","435 MHZ","NEW","2","12.769854","77.796209","FIXED","434.997184","435.02768","435.010656","6.104","9.155","8.461","-41.4","-39.9","-40.7","75.2","75.2","75.2","RELATIVE","277.3","277.8","277.2","0.2","0","0","NA","0","2026-02-27T07:49:01","0.136816","363.62","-45.1","-45.1","-1","-1","-1","-1","-1"
"2163","5","1","435 MHZ","NEW","2","12.769854","77.796209","BURST","435.010912","435.010912","435.010912","9.155","9.155","9.155","-40.8","-40.8","-40.8","75.2","75.2","75.2","RELATIVE","277.4","277.4","277.4","0","NA","NA","NA","NA","2026-02-27T07:49:01","0.136816","5.243","-45.6","-45.6","-1","-1","-1","-1","-1"
"2163","5","1","435 MHZ","UPDATE","2","12.769854","77.796209","BURST","435.00176","435.010912","435.006336","6.104","9.155","7.629","-41.4","-40.8","-41.1","75.2","75.2","75.2","RELATIVE","277.3","277.4","277.3","0","NA","NA","NA","NA","2026-02-27T07:49:01","0.136816","45.056","-44.4","-45","-1","-1","-1","-1","-1"
"2163","5","1","435 MHZ","UPDATE","2","12.769854","77.796209","BURST","435.00176","435.0216","435.011424","6.104","9.155","8.138","-41.4","-40.3","-40.8","75.2","75.2","75.2","RELATIVE","277.3","277.4","277.4","0","NA","NA","NA","NA","2026-02-27T07:49:01","0.136816","124.702","-45.2","-45.1","-1","-1","-1","-1","-1"
"2163","5","1","435 MHZ","UPDATE","2","12.769854","77.796209","BURST","435.00176","435.0216","435.010144","6.104","9.155","8.392","-41.4","-40.3","-40.7","75.2","75.2","75.2","RELATIVE","277.3","277.4","277.4","0","NA","NA","NA","NA","2026-02-27T07:49:01","0.136816","164.525","-45.5","-45.2","-1","-1","-1","-1","-1"
"2163","5","1","435 MHZ","UPDATE","2","12.769854","77.796209","BURST","435.00176","435.02768","435.013664","6.104","9.155","8.545","-41.4","-40.3","-40.7","75.2","75.2","75.2","RELATIVE","277.3","277.4","277.4","0","NA","NA","NA","NA","2026-02-27T07:49:01","0.136816","244.161","-45.3","-45.2","-1","-1","-1","-1","-1"
"2163","5","1","435 MHZ","UPDATE","2","12.769854","77.796209","BURST","435.00176","435.02768","435.01216","6.104","9.155","8.647","-41.4","-40.1","-40.6","75.2","75.2","75.2","RELATIVE","277.3","277.8","277.4","0.2","NA","NA","NA","NA","2026-02-27T07:49:01","0.136816","283.984","-45","-45.2","-1","-1","-1","-1","-1"
"2163","5","1","435 MHZ","UPDATE","2","12.769854","77.796209","BURST","434.997184","435.02768","435.010016","6.104","9.155","8.719","-41.4","-39.9","-40.5","75.2","75.2","75.2","RELATIVE","277.3","277.8","277.4","0.2","NA","NA","NA","NA","2026-02-27T07:49:01","0.136816","363.62","-44.8","-45.1","-1","-1","-1","-1","-1"
"2163","2","-1","435 MHZ","NEW","2","12.769854","77.796209","FIXED","434.992608","435.02768","435.00784","6.104","9.155","8.774","-41.4","-39.9","-40.4","75.2","75.2","75.2","RELATIVE","150.4","277.8","261.8","0.2","0","0","NA","0","2026-02-27T07:49:01","0.136816","403.443","-44.9","-45.1","-1","-1","-1","-1","-1"
"2163","5","2","435 MHZ","UPDATE","2","12.769854","77.796209","BURST","434.992608","435.02768","435.00784","6.104","9.155","8.774","-41.4","-39.9","-40.4","75.2","75.2","75.2","RELATIVE","150.4","277.8","261.6","44.9","NA","NA","NA","NA","2026-02-27T07:49:01","0.136816","403.443","-44.9","-45.1","-1","-1","-1","-1","-1"
"2163","1","-1","435 MHZ","OBSOLETE","2","12.769854","77.796209","FIXED","434.997184","435.02768","435.010656","6.104","9.155","8.461","-41.4","-39.9","-40.7","75.2","75.2","75.2","RELATIVE","277.3","277.8","277.2","0.2","0","0","NA","0","2026-02-27T07:49:01","0.136816","363.62","-45.1","-45.1","-1","-1","-1","-1","-1"
"2163","2","-1","435 MHZ","UPDATE","2","12.769854","77.796209","FIXED","434.992608","435.02768","435.008416","6.104","9.155","8.796","-48.5","-39.9","-40.4","75.2","75.2","75.2","RELATIVE","147.1","277.8","257.8","2.6","0","0","NA","0","2026-02-27T07:49:01","0.136816","841.466","-46","-45.5","-1","-1","-1","-1","-1"
"2163","5","2","435 MHZ","UPDATE","2","12.769854","77.796209","BURST","434.992608","435.02768","435.009984","6.104","9.155","8.85","-41.4","-39.9","-40.4","75.2","75.2","75.2","RELATIVE","150.4","277.8","259.9","41.4","NA","NA","NA","NA","2026-02-27T07:49:01","0.136816","522.902","-45","-45.1","-1","-1","-1","-1","-1"
